Date,Open,High,Low,Close Close price adjusted for splits.,Adj Close,Volume,3MA,5MA
"Dec 26, 2024",54500.0,54600.0,53500.0,53600.0,53600.0,10517075,53500.0,53660.0
"Dec 24, 2024",53700.0,54500.0,53600.0,54400.0,54400.0,11634677,53900.0,53660.0
"Dec 23, 2024",53400.0,54000.0,53300.0,53500.0,53500.0,13672650,53833.333333333336,53680.0
"Dec 20, 2024",52700.0,53100.0,51900.0,53000.0,53000.0,24674774,53633.333333333336,53640.0
"Dec 19, 2024",53500.0,53800.0,53100.0,53100.0,53100.0,22481925,53200.0,53520.0
"Dec 18, 2024",54100.0,55400.0,54000.0,54900.0,54900.0,13698937,53666.66666666666,53780.0
"Dec 17, 2024",54700.0,55200.0,54000.0,54200.0,54200.0,20215230,54066.66666666666,53740.0
"Dec 16, 2024",56300.0,56600.0,55200.0,55600.0,55600.0,15277277,54900.0,54160.0
"Dec 13, 2024",55800.0,56300.0,55500.0,56100.0,56100.0,15908823,55300.0,54780.0
"Dec 12, 2024",54000.0,56500.0,53900.0,55900.0,55900.0,33476698,55866.66666666666,55340.0
"Dec 11, 2024",53600.0,54200.0,53400.0,54000.0,54000.0,14565947,55333.333333333336,55160.0
"Dec 10, 2024",54500.0,54500.0,53700.0,54000.0,54000.0,20783970,54633.333333333336,55120.0
"Dec 9, 2024",53500.0,54600.0,53200.0,53400.0,53400.0,26227680,53800.0,54680.0
"Dec 6, 2024",53900.0,54400.0,52700.0,54100.0,54100.0,22861874,53833.333333333336,54280.0
"Dec 5, 2024",53200.0,54400.0,53200.0,53700.0,53700.0,23588277,53733.333333333336,53840.0
"Dec 4, 2024",52000.0,53400.0,52000.0,53100.0,53100.0,29004766,53633.333333333336,53660.0
"Dec 3, 2024",53100.0,54400.0,53100.0,53600.0,53600.0,23374603,53466.66666666666,53580.0
"Dec 2, 2024",54300.0,54400.0,53100.0,53600.0,53600.0,22044867,53433.333333333336,53620.0
"Nov 29, 2024",55100.0,55300.0,53800.0,54200.0,54200.0,24513531,53800.0,53640.0
"Nov 28, 2024",56000.0,56400.0,55200.0,55500.0,55500.0,20001134,54433.333333333336,54000.0
"Nov 27, 2024",57700.0,57800.0,56000.0,56300.0,56300.0,21808387,55333.333333333336,54640.0
"Nov 26, 2024",57900.0,58900.0,57500.0,58300.0,58300.0,23209405,56700.0,55580.0
"Nov 25, 2024",57400.0,57900.0,56700.0,57900.0,57900.0,36237325,57500.0,56440.0
"Nov 22, 2024",56000.0,56700.0,55900.0,56000.0,56000.0,15281543,57400.0,56800.0
"Nov 21, 2024",54900.0,56900.0,54700.0,56400.0,56400.0,19096850,56766.66666666666,56980.0
"Nov 20, 2024",56100.0,56500.0,54800.0,55300.0,55300.0,20864667,55900.0,56780.0
"Nov 19, 2024",56500.0,57500.0,55900.0,56300.0,56300.0,31539632,56000.0,56380.0
"Nov 18, 2024",57000.0,57500.0,55900.0,56700.0,56700.0,48095234,56100.0,56140.0
"Nov 15, 2024",50300.0,54200.0,50300.0,53500.0,53500.0,46774485,55500.0,55640.0
"Nov 14, 2024",50200.0,51800.0,49900.0,49900.0,49900.0,48510715,53366.66666666666,54340.0
"Nov 13, 2024",52000.0,53000.0,50500.0,50600.0,50600.0,52527995,51333.333333333336,53400.0
"Nov 12, 2024",54600.0,54600.0,53000.0,53000.0,53000.0,37962881,51166.66666666666,52740.0
"Nov 11, 2024",56700.0,56800.0,55000.0,55000.0,55000.0,29811326,52866.66666666666,52400.0
"Nov 8, 2024",58000.0,58300.0,57000.0,57000.0,57000.0,13877396,55000.0,53100.0
"Nov 7, 2024",56900.0,58100.0,56800.0,57300.0,57300.0,17043102,56433.333333333336,54580.0
"Nov 6, 2024",57600.0,58000.0,56300.0,57300.0,57300.0,22092218,57200.0,55920.0
"Nov 5, 2024",57800.0,58100.0,57200.0,57600.0,57600.0,17484474,57400.0,56840.0
"Nov 4, 2024",58600.0,59400.0,58400.0,58700.0,58700.0,15586947,57866.66666666666,57580.0
"Nov 1, 2024",59000.0,59600.0,58100.0,58300.0,58300.0,19083180,58200.0,57840.0
"Oct 31, 2024",58500.0,61200.0,58300.0,59200.0,59200.0,35809196,58733.333333333336,58220.0
"Oct 30, 2024",59100.0,59800.0,58600.0,59100.0,59100.0,19838511,58866.66666666666,58580.0
"Oct 29, 2024",58000.0,59600.0,57300.0,59600.0,59600.0,28369314,59300.0,58980.0
"Oct 28, 2024",55700.0,58500.0,55700.0,58100.0,58100.0,27775009,58933.333333333336,58860.0
"Oct 25, 2024",56000.0,56900.0,55800.0,55900.0,55900.0,25829315,57866.66666666666,58380.0
"Oct 24, 2024",58200.0,58500.0,56600.0,56600.0,56600.0,31499922,56866.66666666666,57860.0
